I
1050 Generated by WorldEditor 2.2.0r2

1   1334 1 0 KMFR Rogue Valley Intl
113  42.38210459 -122.87975206
110 2 0.00 0.0000 New Taxiway 33
111  42.38197374 -122.87997695
111  42.38189392 -122.88025288
111  42.38153136 -122.88006179
111  42.38161127 -122.87978511
111  42.38162127 -122.87979028
111  42.38163582 -122.87973248
111  42.38170645 -122.87976996
111  42.38178169 -122.87980989
111  42.38176782 -122.87985904
111  42.38186187 -122.87990885
111  42.38196877 -122.87996546
113  42.38196834 -122.87997385
110 2 0.00 0.0000 New Taxiway 32
111  42.38136586 -122.88012597
111  42.38122615 -122.88005218
111  42.38130985 -122.87976776
111  42.38136442 -122.87979649
111  42.38137578 -122.87980247
111  42.38138829 -122.87980905
111  42.38143914 -122.87983582
113  42.38144561 -122.87983989
110 5 0.00 0.0000 New Taxiway 31
111  42.38165521 -122.87936456
112  42.38165521 -122.87936456  42.38170599 -122.87941216
111  42.38169030 -122.87950365
111  42.38163695 -122.87965172
111  42.38158073 -122.87975044
111  42.38146274 -122.88015002
111  42.38143936 -122.88020017
112  42.38143936 -122.88020017  42.38141280 -122.88024448
111  42.38133058 -122.88025129
111  42.38136586 -122.88012597
111  42.38144561 -122.87983989
111  42.38143914 -122.87983582
111  42.38148224 -122.87968147
111  42.38149881 -122.87948774
111  42.38153682 -122.87935090
112  42.38153682 -122.87935090  42.38154898 -122.87932210
113  42.38158604 -122.87931641
110 2 0.00 0.0000 New Taxiway 30
111  42.38055156 -122.87997483
111  42.38052965 -122.88005030
111  42.38056038 -122.88006837
111  42.38053498 -122.88015404
111  42.38050564 -122.88013740
111  42.38049000 -122.88019333
111  42.38035564 -122.88012230
113  42.38041961 -122.87990543
110 2 0.00 0.0000 New Taxiway 29
111  42.38108353 -122.87972067
111  42.38113243 -122.87974727
111  42.38107098 -122.87997145
111  42.38105133 -122.87996125
111  42.38103545 -122.88001980
111  42.38100241 -122.88000263
111  42.38094850 -122.88019349
111  42.38068638 -122.88005465
111  42.38068861 -122.88004674
111  42.38069371 -122.88002913
111  42.38071818 -122.87994472
111  42.38075180 -122.87982877
111  42.38047849 -122.87968631
111  42.38060880 -122.87924212
111  42.38087966 -122.87938603
113  42.38113994 -122.87952412
110 2 0.00 0.0000 New Taxiway 28
111  42.37867358 -122.88133088
111  42.37850368 -122.88132153
111  42.37850867 -122.88110341
111  42.37849933 -122.88110336
111  42.37849965 -122.88108003
113  42.37867713 -122.88108686
110 2 0.00 0.0000 New Taxiway 27
111  42.37905524 -122.88026477
111  42.37898365 -122.88051299
111  42.37897461 -122.88050824
111  42.37884490 -122.88044004
111  42.37882532 -122.88043008
111  42.37889709 -122.88018101
111  42.37891302 -122.88018962
111  42.37892814 -122.88013229
111  42.37897165 -122.88015549
113  42.37895472 -122.88021059
110 2 0.00 0.0000 New Taxiway 26
111  42.37866967 -122.88030177
111  42.37882894 -122.88038397
111  42.37876824 -122.88059750
113  42.37860901 -122.88051420
110 2 0.00 0.0000 New Taxiway 25
111  42.37956347 -122.88013743
111  42.37954284 -122.88021036
111  42.37950765 -122.88019134
111  42.37948969 -122.88026018
111  42.37942505 -122.88022557
111  42.37944566 -122.88015952
111  42.37940973 -122.88014087
111  42.37942600 -122.88008051
113  42.37943014 -122.88006700
110 2 0.00 0.0000 New Taxiway 24
111  42.37926660 -122.87997686
111  42.37926035 -122.87999854
111  42.37942164 -122.88007835
111  42.37939714 -122.88016827
111  42.37934981 -122.88014437
111  42.37932894 -122.88022128
111  42.37926394 -122.88018733
111  42.37928661 -122.88011235
111  42.37923392 -122.88008558
111  42.37921920 -122.88013840
111  42.37909467 -122.88007409
113  42.37914408 -122.87990999
110 2 0.00 0.0000 New Taxiway 23
111  42.37896813 -122.87981784
111  42.37891637 -122.87999984
111  42.37875661 -122.87991666
113  42.37881147 -122.87973604
110 2 0.00 0.0000 New Taxiway 22
111  42.37968887 -122.87969768
111  42.37962564 -122.87991186
111  42.37885312 -122.87950556
113  42.37891426 -122.87929095
110 2 0.00 0.0000 New Taxiway 21
111  42.37979967 -122.87929710
111  42.37974829 -122.87947698
111  42.37895430 -122.87906251
113  42.37900578 -122.87888189
110 2 0.00 0.0000 New Taxiway 18
111  42.37753005 -122.88080177
111  42.37749358 -122.88092912
111  42.37738244 -122.88087100
113  42.37741912 -122.88074460
110 2 0.00 0.0000 New Taxiway 17
111  42.37764952 -122.88086335
111  42.37761311 -122.88099014
111  42.37750182 -122.88093252
113  42.37753866 -122.88080621
110 2 0.00 0.0000 New Taxiway 16
111  42.37776815 -122.88092449
111  42.37773174 -122.88105316
111  42.37762083 -122.88099424
113  42.37765784 -122.88086764
110 2 0.00 0.0000 New Taxiway 15
111  42.37811807 -122.88111118
111  42.37808242 -122.88123961
111  42.37774677 -122.88105984
113  42.37778440 -122.88093286
110 2 0.00 0.0000 New Taxiway 14
111  42.37747091 -122.88056077
111  42.37750780 -122.88043481
111  42.37773188 -122.88055160
113  42.37769462 -122.88067856
110 2 0.00 0.0000 New Taxiway 13
111  42.37770967 -122.88068648
111  42.37774613 -122.88055788
111  42.37819411 -122.88079569
111  42.37815876 -122.88091413
113  42.37815635 -122.88092188
110 2 0.00 0.0000 New Taxiway 12
111  42.37823154 -122.88056329
111  42.37819002 -122.88070722
111  42.37797979 -122.88059565
113  42.37802207 -122.88045277
110 2 0.00 0.0000 New Taxiway 11
111  42.37801655 -122.88044976
111  42.37797472 -122.88059329
111  42.37781595 -122.88050919
113  42.37785800 -122.88036603
110 2 0.00 0.0000 New Taxiway 10
111  42.37785326 -122.88036354
111  42.37781058 -122.88050630
111  42.37765400 -122.88042265
113  42.37769484 -122.88028038
110 2 0.00 0.0000 New Taxiway 9
111  42.37768946 -122.88027756
111  42.37764842 -122.88042148
111  42.37741056 -122.88029956
113  42.37745390 -122.88015388
110 2 0.00 0.0000 New Taxiway 8
111  42.37835781 -122.88012009
111  42.37829570 -122.88033766
111  42.37752416 -122.87993316
113  42.37758694 -122.87971600
110 2 0.00 0.0000 New Taxiway 7
111  42.37849213 -122.87965558
111  42.37843054 -122.87987163
111  42.37765885 -122.87946785
113  42.37772109 -122.87925003
110 2 0.00 0.0000 New Taxiway 6
111  42.37862650 -122.87918763
111  42.37856518 -122.87940206
111  42.37779218 -122.87899575
113  42.37785413 -122.87878234
110 2 0.00 0.0000 New Taxiway 5
111  42.37875523 -122.87874191
111  42.37869941 -122.87893548
111  42.37789409 -122.87851065
113  42.37794923 -122.87831813
110 2 0.00 0.0000 New Taxiway 4
111  42.37876641 -122.87836388
111  42.37878256 -122.87830705
111  42.37883894 -122.87833614
111  42.37882150 -122.87839550
111  42.37884864 -122.87840974
111  42.37882989 -122.87847378
111  42.37871944 -122.87841541
113  42.37873813 -122.87834986
110 2 0.00 0.0000 New Taxiway 3
111  42.37865026 -122.87830450
111  42.37866686 -122.87824616
111  42.37872232 -122.87827520
111  42.37870619 -122.87833457
111  42.37873411 -122.87834959
111  42.37871519 -122.87841400
111  42.37860387 -122.87835437
113  42.37862298 -122.87828913
110 2 0.00 0.0000 New Taxiway 2
111  42.37861800 -122.87828753
111  42.37859946 -122.87835196
111  42.37848866 -122.87829432
111  42.37850781 -122.87822872
111  42.37853527 -122.87824501
111  42.37855188 -122.87818595
111  42.37860744 -122.87821500
113  42.37859071 -122.87827347
110 2 0.00 0.0000 New Taxiway 1
111  42.37849178 -122.87815454
111  42.37847550 -122.87821222
111  42.37850358 -122.87822764
111  42.37848439 -122.87829153
111  42.37837287 -122.87823345
111  42.37839190 -122.87816873
111  42.37841914 -122.87818293
113  42.37843633 -122.87812556
110 2 0.00 0.0000 New Taxiway 53
111  42.37825898 -122.87817184
111  42.37827749 -122.87810795
111  42.37830545 -122.87812413
111  42.37832204 -122.87806601
111  42.37837632 -122.87809440
111  42.37835951 -122.87815325
111  42.37838809 -122.87816735
113  42.37836934 -122.87823103
110 2 0.00 0.0000 New Taxiway 52
111  42.37825338 -122.87816966
111  42.37815176 -122.87811575
111  42.37816659 -122.87806229
111  42.37819816 -122.87808014
111  42.37821512 -122.87802262
111  42.37825425 -122.87804354
111  42.37823762 -122.87809972
113  42.37826934 -122.87811634
110 2 0.00 0.0000 New Taxiway 50
111  42.37732914 -122.87963246
111  42.37725220 -122.87959166
111  42.37716383 -122.87954581
111  42.37730371 -122.87905676
113  42.37747091 -122.87914206
110 2 0.00 0.0000 New Taxiway 49
111  42.37736374 -122.87901213
111  42.37708431 -122.87886527
111  42.37719363 -122.87848414
113  42.37747306 -122.87863101
110 2 0.00 0.0000 New Taxiway 49
111  42.37721794 -122.87839846
111  42.37738338 -122.87782183
111  42.37766613 -122.87797048
113  42.37750069 -122.87854711
110 2 0.00 0.0000 New Taxiway 48
111  42.37576941 -122.88068858
111  42.37579348 -122.88067449
111  42.37607028 -122.88050819
111  42.37608335 -122.88054757
111  42.37607074 -122.88055526
111  42.37617366 -122.88087199
111  42.37617878 -122.88088734
113  42.37588816 -122.88105678
110 2 0.00 0.0000 New Taxiway 46
111  42.37520135 -122.88104640
111  42.37519886 -122.88103988
111  42.37525991 -122.88100099
111  42.37522872 -122.88090811
111  42.37519686 -122.88092838
111  42.37517335 -122.88087294
111  42.37518869 -122.88086318
111  42.37520773 -122.88088979
111  42.37522109 -122.88088317
111  42.37520810 -122.88084861
111  42.37530181 -122.88078783
113  42.37535639 -122.88094999
110 2 0.00 0.0000 New Taxiway 45
111  42.37647254 -122.88022378
111  42.37656452 -122.88030985
111  42.37648493 -122.88046571
111  42.37639295 -122.88037965
111  42.37642512 -122.88031664
111  42.37643331 -122.88030060
113  42.37644145 -122.88028467
110 2 0.00 0.0000 New Taxiway 42
111  42.37657500 -122.87946489
111  42.37658787 -122.87943978
111  42.37671483 -122.87956113
111  42.37657882 -122.87983860
111  42.37645108 -122.87971920
111  42.37652974 -122.87956895
113  42.37652473 -122.87956363
110 2 0.00 0.0000 New Taxiway 41
111  42.37615255 -122.87980986
112  42.37615255 -122.87980986  42.37614647 -122.87983080
112  42.37603561 -122.87989883  42.37601966 -122.87990348
111  42.37597039 -122.87993182
111  42.37590732 -122.87997273
111  42.37578698 -122.87964087
113  42.37603530 -122.87948142
110 2 0.00 0.0000 New Taxiway 40
112  42.37642282 -122.87886104  42.37643401 -122.87892902
111  42.37644178 -122.87904403
111  42.37617653 -122.87912845
111  42.37611399 -122.87876724
113  42.37637998 -122.87868248
110 2 0.00 0.0000 New Taxiway 36
111  42.37297495 -122.88038962
111  42.37275588 -122.88074158
111  42.37220915 -122.88012265
111  42.37221219 -122.88011811
111  42.37217688 -122.88007799
111  42.37236099 -122.87978306
111  42.37235243 -122.87977379
111  42.37233352 -122.87966470
111  42.37233768 -122.87966060
111  42.37247061 -122.87979174
111  42.37246423 -122.87980142
111  42.37245351 -122.87978926
112  42.37245022 -122.87979477  42.37245293 -122.87980211
113  42.37245022 -122.87979477
110 2 0.00 0.0000 New Taxiway 35
111  42.37242324 -122.87942211
111  42.37208284 -122.87961828
111  42.37202870 -122.87944957
111  42.37202031 -122.87945413
111  42.37201604 -122.87944092
111  42.37199865 -122.87938673
111  42.37202051 -122.87937491
111  42.37200491 -122.87932403
111  42.37199577 -122.87932904
111  42.37199095 -122.87931414
113  42.37232912 -122.87911782
110 2 0.00 0.0000 New Taxiway 34
111  42.37287432 -122.87902404
111  42.37256600 -122.87920757
111  42.37253612 -122.87911779
111  42.37248697 -122.87914541
111  42.37251211 -122.87921988
111  42.37244984 -122.87925649
111  42.37242494 -122.87918215
111  42.37238119 -122.87920594
111  42.37235363 -122.87911937
113  42.37281603 -122.87884568
110 2 0.00 0.0000 New Taxiway 33
111  42.37189461 -122.87907035
111  42.37183589 -122.87888675
111  42.37267493 -122.87840150
113  42.37273159 -122.87858034
110 2 0.00 0.0000 New Taxiway 32
111  42.37147908 -122.87913705
111  42.37136747 -122.87919843
111  42.37129044 -122.87924163
111  42.37121851 -122.87900360
111  42.37130773 -122.87895292
111  42.37140510 -122.87889761
113  42.37143420 -122.87899179
110 2 0.00 0.0000 New Taxiway 31
111  42.37127955 -122.87790129
111  42.37109360 -122.87801348
111  42.37080591 -122.87711378
113  42.37099697 -122.87700668
110 2 0.00 0.0000 New Taxiway 30
111  42.37040652 -122.87533983
111  42.37037004 -122.87546601
111  42.37027577 -122.87541639
113  42.37031288 -122.87529050
110 2 0.00 0.0000 New Taxiway 29
111  42.36862526 -122.87226169
111  42.36864943 -122.87217568
111  42.36999210 -122.87287872
111  42.37068932 -122.87509004
111  42.37041254 -122.87524886
111  42.37038676 -122.87516525
111  42.37023607 -122.87525210
111  42.37016868 -122.87503313
111  42.37013855 -122.87504927
111  42.37014126 -122.87505750
111  42.37009480 -122.87508405
111  42.37008728 -122.87508882
111  42.37001826 -122.87486533
111  42.37007138 -122.87483478
111  42.37007525 -122.87484779
111  42.37009932 -122.87483453
111  42.36994424 -122.87433937
111  42.36947815 -122.87409542
111  42.36946455 -122.87414749
111  42.36904302 -122.87392648
111  42.36901482 -122.87403092
111  42.36897487 -122.87400987
111  42.36900413 -122.87390583
111  42.36878961 -122.87379331
111  42.36871630 -122.87375486
111  42.36869914 -122.87374586
111  42.36871457 -122.87369104
111  42.36809875 -122.87336846
111  42.36808187 -122.87330483
111  42.36817264 -122.87299223
111  42.36786261 -122.87283167
111  42.36801813 -122.87229033
111  42.36792636 -122.87224193
111  42.36796685 -122.87209999
111  42.36798947 -122.87202068
113  42.36801227 -122.87194077
110 2 0.00 0.0000 New Taxiway 24
111  42.37437627 -122.86708266 53 102
111  42.37416879 -122.86780464
111  42.37348535 -122.86744708 53 102
111  42.37372288 -122.86673698 53
111  42.37410499 -122.86694058 53
113  42.37418487 -122.86698242 53
110 1 0.00 0.0000 New Taxiway 2
111  42.38683386 -122.87912837
111  42.38663637 -122.87981962
111  42.38619763 -122.87958626
111  42.38600021 -122.88028618
112  42.38537980 -122.88062080  42.38497364 -122.88047292
111  42.38537980 -122.88062080
111  42.38246464 -122.87909016
111  42.38236338 -122.87926526
111  42.38234264 -122.87932959
111  42.38228570 -122.87949836
111  42.38225451 -122.87970123
111  42.38232001 -122.87975051
111  42.38229704 -122.87988374
111  42.38220878 -122.87987829
111  42.38221302 -122.88070753
112  42.38230974 -122.88082781  42.38240437 -122.88086758
111  42.38230974 -122.88082781
111  42.38238870 -122.88083186
111  42.38238744 -122.88120523
111  42.38229267 -122.88122194
112  42.38222663 -122.88133930  42.38221555 -122.88140195
111  42.38222663 -122.88133930
111  42.38219808 -122.88133992
111  42.38219478 -122.88146049
111  42.38213262 -122.88146248
111  42.38210429 -122.88139075
112  42.38204329 -122.88136751  42.38201007 -122.88138087
111  42.38199586 -122.88141780
111  42.38199776 -122.88215121
111  42.38200909 -122.88229115
111  42.38134820 -122.88227298
111  42.38130083 -122.88227156
111  42.38130014 -122.88208035
111  42.38130022 -122.88183722
111  42.38129842 -122.88163130
111  42.38129754 -122.88138909
111  42.38129649 -122.88111396
111  42.38129454 -122.88059458
111  42.38129384 -122.88040955
111  42.38133058 -122.88025129
111  42.38136586 -122.88012597
111  42.38144561 -122.87983989
111  42.38143914 -122.87983582
111  42.38138829 -122.87980905
111  42.38137578 -122.87980247
111  42.38136442 -122.87979649
111  42.38130985 -122.87976776
111  42.38134340 -122.87964115
111  42.38135131 -122.87959956
111  42.38143410 -122.87946393
111  42.38147489 -122.87932748
112  42.38145617 -122.87923998  42.38142116 -122.87920929
111  42.38145617 -122.87923998 20
111  42.38046290 -122.87872112
111  42.38041202 -122.87890050
111  42.38044035 -122.87891558
111  42.38059280 -122.87899666
111  42.38093912 -122.87918085
111  42.38087966 -122.87938603
111  42.38060880 -122.87924212
111  42.38047849 -122.87968631
111  42.38075180 -122.87982877
111  42.38071818 -122.87994472
111  42.38069371 -122.88002913
111  42.38068861 -122.88004674
111  42.38055156 -122.87997483
111  42.38041961 -122.87990543
111  42.37998240 -122.87967604
111  42.37991417 -122.87992180
111  42.37978510 -122.88019145
111  42.37961349 -122.88009693
112  42.37956347 -122.88013743  42.37954551 -122.88016976
111  42.37956347 -122.88013743
111  42.37943014 -122.88006700
111  42.37942600 -122.88008051
111  42.37942164 -122.88007835
111  42.37926035 -122.87999854
111  42.37926660 -122.87997686
111  42.37914408 -122.87990999
111  42.37913233 -122.87990358
111  42.37897322 -122.87982053
111  42.37896813 -122.87981784
111  42.37881147 -122.87973604
111  42.37880354 -122.87973319
111  42.37874504 -122.87973453
112  42.37874504 -122.87973453  42.37873292 -122.87977295
111  42.37867200 -122.87988214
111  42.37863274 -122.88002453
111  42.37873334 -122.88007883
111  42.37867189 -122.88029409
111  42.37866967 -122.88030177
111  42.37860901 -122.88051420
111  42.37860483 -122.88052911
111  42.37859170 -122.88049818
111  42.37847347 -122.88044018
111  42.37846233 -122.88047995
112  42.37849658 -122.88054790  42.37852744 -122.88056909
111  42.37849658 -122.88054790
111  42.37859065 -122.88059895
112  42.37861439 -122.88058992  42.37863314 -122.88059782
111  42.37861439 -122.88058992
111  42.37872735 -122.88065168
111  42.37873109 -122.88066522
112  42.37882045 -122.88060171  42.37883503 -122.88054296
111  42.37882045 -122.88060171
111  42.37882982 -122.88055941
112  42.37881559 -122.88054061  42.37881518 -122.88053627
111  42.37881559 -122.88054061
111  42.37884490 -122.88044004
111  42.37897461 -122.88050824
111  42.37894969 -122.88061273
111  42.37896223 -122.88074117
112  42.37890867 -122.88083990  42.37885057 -122.88087163
111  42.37890867 -122.88083990
111  42.37883907 -122.88085289
112  42.37879449 -122.88084266  42.37878068 -122.88083465
111  42.37879449 -122.88084266
112  42.37875495 -122.88077368  42.37874660 -122.88074697
111  42.37875495 -122.88077368
111  42.37848479 -122.88064326
112  42.37841594 -122.88064996  42.37839744 -122.88067555
111  42.37841594 -122.88064996
111  42.37838054 -122.88077584
112  42.37841962 -122.88085561  42.37844666 -122.88087053
111  42.37841962 -122.88085561
111  42.37901897 -122.88087718
112  42.37902883 -122.88092150  42.37903044 -122.88094053
111  42.37902883 -122.88092150
111  42.37903585 -122.88110056
111  42.37902821 -122.88110037
111  42.37886034 -122.88109401
111  42.37885245 -122.88109369
111  42.37868466 -122.88108718
111  42.37867713 -122.88108686
111  42.37849965 -122.88108003
111  42.37836765 -122.88099663
112  42.37834668 -122.88099311  42.37833622 -122.88099618
111  42.37834668 -122.88099311
111  42.37830880 -122.88101367
111  42.37822494 -122.88131738
111  42.37816323 -122.88128639
111  42.37820385 -122.88115819
111  42.37811807 -122.88111118
111  42.37778440 -122.88093286
111  42.37776815 -122.88092449
111  42.37765784 -122.88086764
111  42.37764952 -122.88086335
111  42.37753866 -122.88080621
111  42.37753005 -122.88080177
111  42.37741912 -122.88074460
111  42.37744628 -122.88064821
111  42.37747091 -122.88056077
111  42.37769462 -122.88067856
111  42.37770967 -122.88068648
111  42.37815635 -122.88092188
111  42.37815876 -122.88091413
111  42.37824090 -122.88096462
112  42.37827259 -122.88092891  42.37827756 -122.88091156
111  42.37827259 -122.88092891
111  42.37833789 -122.88070900
112  42.37834383 -122.88061687  42.37833900 -122.88058633
111  42.37834383 -122.88061687
111  42.37823154 -122.88056329
111  42.37802207 -122.88045277
111  42.37801655 -122.88044976
111  42.37785800 -122.88036603
111  42.37785326 -122.88036354
111  42.37769484 -122.88028038
111  42.37768946 -122.88027756
111  42.37745390 -122.88015388
111  42.37743806 -122.88007890
111  42.37738942 -122.88002759
112  42.37734570 -122.87982661  42.37736770 -122.87971563
111  42.37734570 -122.87982661
111  42.37730121 -122.87981376
111  42.37725220 -122.87959166
111  42.37732914 -122.87963246
111  42.37747091 -122.87914206
111  42.37748913 -122.87915102
111  42.37750253 -122.87910453
112  42.37748753 -122.87907738  42.37747411 -122.87906712
111  42.37748753 -122.87907738
111  42.37736374 -122.87901213
111  42.37747306 -122.87863101
111  42.37750069 -122.87854711
111  42.37766613 -122.87797048
111  42.37768742 -122.87789730
111  42.37779187 -122.87794943
111  42.37782346 -122.87784679
112  42.37782346 -122.87784679  42.37779413 -122.87782117
111  42.37776497 -122.87780454
111  42.37760304 -122.87771780
111  42.37736498 -122.87759238
111  42.37727617 -122.87764470
111  42.37715303 -122.87758054
111  42.37711378 -122.87746039
111  42.37682549 -122.87731191
112  42.37682549 -122.87731191  42.37671593 -122.87726511
112  42.37643653 -122.87749681  42.37632900 -122.87771014
111  42.37643653 -122.87749681
111  42.37643316 -122.87750561
111  42.37643893 -122.87750802
111  42.37676294 -122.87764361
111  42.37662896 -122.87808733
111  42.37674608 -122.87845326
111  42.37664690 -122.87850745
111  42.37652347 -122.87810924
111  42.37648359 -122.87808154 20
111  42.37629650 -122.87800341
112  42.37623846 -122.87808423  42.37623402 -122.87817312
111  42.37623846 -122.87808423
111  42.37642847 -122.87875539
112  42.37646547 -122.87883905  42.37647238 -122.87885893
111  42.37646547 -122.87883905
111  42.37650910 -122.87902536
111  42.37656699 -122.87900275
111  42.37657943 -122.87906449
112  42.37650187 -122.87914538  42.37647510 -122.87920776
111  42.37650187 -122.87914538
111  42.37647369 -122.87934656
111  42.37657500 -122.87946489
111  42.37652473 -122.87956363
111  42.37652974 -122.87956895
111  42.37645108 -122.87971920
111  42.37657882 -122.87983860
111  42.37654344 -122.87991438
111  42.37643977 -122.87986774
111  42.37639732 -122.88005571
111  42.37652963 -122.88011176
111  42.37649292 -122.88018284
111  42.37647254 -122.88022378
111  42.37644145 -122.88028467
111  42.37643331 -122.88030060
111  42.37642512 -122.88031664
111  42.37639295 -122.88037965
111  42.37636269 -122.88043661
111  42.37629786 -122.88049537
111  42.37627523 -122.88056253
111  42.37625797 -122.88058808
111  42.37640119 -122.88072983
111  42.37617366 -122.88087199
111  42.37607074 -122.88055526
111  42.37608335 -122.88054757
111  42.37607028 -122.88050819
111  42.37579348 -122.88067449
111  42.37573359 -122.88048874
111  42.37543031 -122.88066517
111  42.37542845 -122.88066625
111  42.37543605 -122.88069247
111  42.37537219 -122.88073543
112  42.37535392 -122.88078491  42.37535713 -122.88081734
111  42.37535392 -122.88078491
111  42.37539524 -122.88092330
111  42.37535639 -122.88094999
111  42.37520135 -122.88104640
111  42.37519886 -122.88103988
112  42.37519886 -122.88103988  42.37518716 -122.88101669
112  42.37510434 -122.88093696  42.37506580 -122.88093766
111  42.37510434 -122.88093696
111  42.37502448 -122.88117415
111  42.37503230 -122.88123877
111  42.37507394 -122.88141315
112  42.37506505 -122.88159650  42.37503850 -122.88167825
111  42.37506505 -122.88159650
111  42.37501611 -122.88172578
111  42.37497955 -122.88170838
111  42.37503011 -122.88157633
112  42.37503011 -122.88157633  42.37504588 -122.88151464
111  42.37503945 -122.88144274
111  42.37502295 -122.88135875
112  42.37502295 -122.88135875  42.37500004 -122.88129539
111  42.37496992 -122.88131413
111  42.37493128 -122.88141293
112  42.37493128 -122.88141293  42.37492586 -122.88146695
111  42.37492859 -122.88151943
111  42.37495165 -122.88166225
111  42.37495819 -122.88170134
111  42.37492786 -122.88171036
111  42.37487743 -122.88172554
111  42.37484893 -122.88181893
111  42.37446553 -122.88192999
111  42.37425828 -122.88180025
111  42.37410828 -122.88166859
111  42.37297495 -122.88038962
111  42.37245022 -122.87979477
112  42.37245022 -122.87979477  42.37244751 -122.87978743
111  42.37245351 -122.87978926
111  42.37246423 -122.87980142
111  42.37247061 -122.87979174
111  42.37233768 -122.87966060
111  42.37229714 -122.87954295
111  42.37243679 -122.87946572
111  42.37242324 -122.87942211
111  42.37232912 -122.87911782
111  42.37199095 -122.87931414
111  42.37199577 -122.87932904
111  42.37200491 -122.87932403
111  42.37202051 -122.87937491
111  42.37199865 -122.87938673
111  42.37201604 -122.87944092
111  42.37180542 -122.87956992
111  42.37177214 -122.87946573
